"State_House_District","Precinct"
8,"905 - FRANKLIN"
8,"908 - HIDDEN MEADOW"
8,"909 - OAK HILL"
8,"911 - NAVY"
8,"916 - WAPLES MILL"
8,"920 - CHANTILLY"
8,"923 - BULL RUN"
8,"931 - CARSON"
9,"132 - MONUMENT"
9,"223 - GLADE"
9,"332 - COATES"
9,"720 - THOREAU"
9,"802 - CEDAR LAKE"
9,"843 - FAIR LAKES"
9,"844 - CENTERPOINTE"
9,"846 - GREENBRIAR EAST"
9,"847 - GREENBRIAR WEST"
9,"848 - FAIR OAKS"
9,"854 - NEWGATE SOUTH"
9,"902 - BROOKFIELD"
9,"903 - CUB RUN"
9,"904 - STONECROFT"
9,"905 - FRANKLIN"
9,"910 - LONDON TOWNE"
9,"911 - NAVY"
9,"913 - ROCKY RUN"
9,"915 - VIRGINIA RUN"
9,"917 - STONE"
9,"919 - GREEN TRAILS"
9,"921 - DEER PARK"
9,"923 - BULL RUN"
9,"927 - ARMFIELD"
9,"928 - POPLAR TREE"
9,"934 - FOX VALLEY"
9,"935 - SPINDLE 2"
10,"119 - LAUREL"
10,"120 - SIDEBURN 1"
10,"123 - ROBINSON"
10,"126 - BONNIE BRAE"
10,"137 - SIDEBURN 2"
10,"138 - EAGLE VIEW 2"
10,"726 - MAGARITY"
10,"803 - CLIFTON SOUTH"
10,"804 - COLCHESTER"
10,"805 - FAIRFAX STATION"
10,"815 - WOODYARD"
10,"841 - POPES HEAD"
10,"849 - NEWGATE NORTH"
10,"851 - WILLOW SPRINGS 1"
10,"854 - NEWGATE SOUTH"
10,"858 - CLIFTON TOWN"
10,"859 - LIBERTY"
10,"862 - WILLOW SPRINGS 2"
10,"901 - CENTRE RIDGE"
10,"903 - CUB RUN"
10,"917 - STONE"
10,"918 - CENTREVILLE"
10,"919 - GREEN TRAILS"
10,"921 - DEER PARK"
10,"923 - BULL RUN"
10,"924 - SPINDLE 1"
10,"925 - OLD MILL"
10,"926 - POWELL"
11,"001 - ONE"
11,"002 - TWO"
11,"003 - THREE"
11,"004 - FOUR"
11,"005 - FIVE"
11,"006 - SIX"
11,"121 - VILLA"
11,"131 - EAGLE VIEW 1"
11,"132 - MONUMENT"
11,"134 - UNIVERSITY"
11,"136 - WOODSON 2"
11,"218 - VIENNA 6"
11,"241 - FLINT HILL 2"
11,"701 - BLAKE"
11,"709 - MOSBY 1"
11,"726 - MAGARITY"
11,"727 - OAKTON"
11,"731 - TYSONS"
11,"732 - OAK MARR"
11,"734 - HUNTERS BRANCH"
11,"844 - CENTERPOINTE"
11,"856 - PENDERBROOK"
11,"857 - ISLAND POND"
11,"929 - DIFFICULT RUN"
12,"109 - LITTLE RUN"
12,"116 - WAKEFIELD"
12,"131 - EAGLE VIEW 1"
12,"202 - FLINT HILL 1"
12,"203 - FLORIS"
12,"204 - MADISON"
12,"213 - VIENNA 1"
12,"214 - VIENNA 2"
12,"216 - VIENNA 4"
12,"218 - VIENNA 6"
12,"219 - WESTBRIAR 1"
12,"226 - WOLFTRAP"
12,"238 - CAMERON GLEN"
12,"241 - FLINT HILL 2"
12,"303 - CHURCHILL"
12,"309 - KENMORE"
12,"311 - LANGLEY"
12,"316 - SALONA"
12,"317 - WESTHAMPTON"
12,"318 - WESTMORELAND"
12,"325 - HUTCHISON"
12,"406 - HAYFIELD"
12,"415 - CRESTWOOD"
12,"420 - VILLAGES"
12,"504 - BRISTOW"
12,"521 - BROOK HILL"
12,"525 - WALNUT HILL"
12,"528 - RIDGELEA"
12,"601 - BELLE HAVEN"
12,"701 - BLAKE"
12,"704 - FREEDOM HILL"
12,"705 - GRAHAM - GREENWAY"
12,"707 - MANTUA"
12,"708 - MARSHALL"
12,"711 - PRICE"
12,"714 - WALKER"
12,"718 - PINE RIDGE"
12,"720 - THOREAU"
12,"721 - MERRIFIELD"
12,"723 - GALLOWS EAST"
12,"726 - MAGARITY"
12,"729 - NOTTOWAY"
12,"731 - TYSONS"
12,"733 - KILMER"
12,"735 - ROTONDA"
12,"736 - BEDFORD"
12,"737 - MOSBY 2"
12,"844 - CENTERPOINTE"
12,"849 - NEWGATE NORTH"
12,"911 - NAVY"
13,"001 - FIRST WARD"
13,"002 - SECOND WARD"
13,"003 - THIRD WARD"
13,"118 - LAKE BRADDOCK"
13,"307 - HAYCOCK"
13,"315 - PIMMIT"
13,"317 - WESTHAMPTON"
13,"502 - BARCROFT"
13,"503 - BELVEDERE"
13,"506 - HOLMES"
13,"511 - RAVENWOOD"
13,"512 - SLEEPY HOLLOW"
13,"515 - WESTLAWN"
13,"521 - BROOK HILL"
13,"525 - WALNUT HILL"
13,"530 - TRIPPS"
13,"535 - FORT BUFFALO"
13,"705 - GRAHAM - GREENWAY"
13,"708 - MARSHALL"
13,"710 - PINE SPRING"
13,"712 - SHREVE"
13,"713 - TIMBER LANE"
13,"721 - MERRIFIELD"
13,"723 - GALLOWS EAST"
14,"104 - CHAPEL"
14,"106 - HERITAGE"
14,"110 - NORTH SPRINGFIELD"
14,"113 - CANTERBURY"
14,"115 - RAVENSWORTH"
14,"116 - WAKEFIELD"
14,"117 - WOODSON 1"
14,"403 - FORESTDALE"
14,"409 - PIONEER"
14,"503 - BELVEDERE"
14,"504 - BRISTOW"
14,"507 - LINCOLNIA"
14,"508 - MASONVILLE"
14,"510 - PARKLAWN"
14,"512 - SLEEPY HOLLOW"
14,"513 - SAINT ALBANS"
14,"516 - WEYANOKE"
14,"518 - COLUMBIA"
14,"519 - HUMMER"
14,"521 - BROOK HILL"
14,"522 - CAMELOT"
14,"523 - POE"
14,"526 - BREN MAR"
14,"527 - EDSALL"
14,"536 - WOODBURN"
14,"736 - BEDFORD"
15,"105 - FAIRVIEW"
15,"108 - KINGS PARK"
15,"109 - LITTLE RUN"
15,"114 - OLDE CREEK"
15,"117 - WOODSON 1"
15,"118 - LAKE BRADDOCK"
15,"120 - SIDEBURN 1"
15,"123 - ROBINSON"
15,"125 - SIGNAL HILL"
15,"127 - BURKE CENTRE"
15,"130 - TERRA CENTRE"
15,"629 - SOUTH COUNTY"
15,"632 - HALLEY 1"
15,"807 - HUNT VALLEY"
15,"811 - POHICK"
15,"824 - ORANGE"
15,"825 - CHERRY RUN"
15,"833 - WHITE OAKS"
15,"838 - SANGSTER"
15,"839 - SILVERBROOK"
15,"841 - POPES HEAD"
15,"842 - PARKWAY"
15,"845 - FOUNTAINHEAD"
15,"850 - SOUTH RUN"
15,"860 - SANDY RUN"
15,"861 - BURKE 2"
16,"405 - GROVETON"
16,"413 - FAIRFIELD"
16,"424 - HUNTLEY"
16,"428 - PINEWOOD"
16,"429 - HYBLA VALLEY"
16,"601 - BELLE HAVEN"
16,"602 - BELLEVIEW"
16,"604 - BUCKNELL"
16,"605 - FORT HUNT"
16,"606 - HOLLIN HALL"
16,"608 - KIRKSIDE"
16,"609 - MARLAN"
16,"610 - SHERWOOD"
16,"611 - STRATFORD"
16,"612 - WAYNEWOOD"
16,"613 - WESTGATE"
16,"614 - RIVERSIDE"
16,"615 - WOODLEY"
16,"627 - WOODLAWN 1"
16,"628 - LAUREL HILL 1"
17,"307 - HAYCOCK"
17,"401 - BUSH HILL"
17,"402 - CAMERON"
17,"403 - FORESTDALE"
17,"404 - FRANCONIA 1"
17,"406 - HAYFIELD"
17,"408 - MOUNT EAGLE"
17,"409 - PIONEER"
17,"410 - ROSE HILL"
17,"411 - VIRGINIA HILLS"
17,"419 - LANE"
17,"420 - VILLAGES"
17,"421 - KINGSTOWNE"
17,"422 - VAN DORN"
17,"423 - CLERMONT"
17,"427 - ISLAND CREEK"
17,"432 - FRANCONIA 2"
17,"601 - BELLE HAVEN"
17,"607 - HUNTINGTON"
17,"621 - GROSVENOR"
17,"630 - ARMY"
17,"825 - CHERRY RUN"
17,"903 - CUB RUN"
18,"110 - NORTH SPRINGFIELD"
18,"128 - CARDINAL"
18,"129 - KEENE MILL"
18,"130 - TERRA CENTRE"
18,"135 - IRVING"
18,"329 - SENECA"
18,"401 - BUSH HILL"
18,"415 - CRESTWOOD"
18,"417 - GARFIELD"
18,"418 - LYNBROOK 1"
18,"426 - GREENSPRING"
18,"431 - WEST SPRINGFIELD"
18,"433 - LYNBROOK 2"
18,"527 - EDSALL"
18,"618 - NEWINGTON 1"
18,"623 - ALBAN"
18,"628 - LAUREL HILL 1"
18,"629 - SOUTH COUNTY"
18,"630 - ARMY"
18,"631 - POHICK CREEK"
18,"633 - HALLEY 2"
18,"634 - NEWINGTON 2"
18,"636 - LAUREL HILL 2"
18,"801 - BURKE 1"
18,"806 - SYDENSTRICKER"
18,"807 - HUNT VALLEY"
18,"812 - VALLEY"
18,"850 - SOUTH RUN"
18,"855 - SARATOGA"
19,"118 - LAKE BRADDOCK"
19,"302 - POTOMAC"
19,"615 - COMMONS"
19,"615 - WOODLEY"
19,"616 - GUNSTON"
19,"617 - LORTON"
19,"622 - LORTON STATION"
19,"627 - WOODLAWN 1"
19,"629 - SOUTH COUNTY"
19,"631 - POHICK CREEK"
19,"635 - WOODLAWN 2"
19,"636 - LAUREL HILL 2"
19,"701 - BELMONT"
19,"702 - LIBRARY"
19,"703 - LYNN"
19,"704 - PORTER"
19,"705 - POTOMAC VIEW"
19,"706 - RIPPON"
19,"707 - KILBY"
19,"709 - FREEDOM"
19,"711 - GRAYSON"
19,"712 - LEESYLVANIA"
20,"001 - DEAN"
20,"001 - PRECINCT ONE"
20,"002 - PRECINCT TWO"
20,"002 - WEEMS"
20,"003 - METZ"
20,"003 - PRECINCT THREE"
20,"004 - HAYDON"
20,"005 - BALDWIN"
20,"006 - ROUND"
20,"101 - BRENTSVILLE"
20,"104 - NOKESVILLE"
20,"105 - PINEY BRANCH"
20,"106 - UNITY REED"
20,"108 - VICTORY"
20,"114 - BRISTOW RUN"
20,"203 - BENNETT"
20,"204 - ELLIS"
20,"209 - INDEPENDENT HILL"
20,"210 - YATES FORD"
20,"211 - SIGNAL HILL"
20,"212 - YORKSHIRE"
20,"213 - PARKSIDE"
20,"214 - LUCASVILLE"
20,"301 - DUMFRIES"
20,"404 - UNITY BRAXTON"
20,"408 - SUDLEY"
